ID,L2Process,L2Desc,L3Process,L3Desc,L4Process,L4Desc,VS,MAR,MARDesc
036c411f-4be8-430b-b212-f71a61f931c5,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V002,Activate noncompliance relevant maintenance plan,A2R,AARMI_MM_MPRQAC00,ARMI: Maintenance Plan Request Activation
0c7e3c2e-7659-4cdb-8fa6-5014db1dc640,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V001,Activate compliance relevant maintenance plan,A2R,AARMI_MM_MPRQCR00,ARMI: Maintenance Plan Request Creation
684b9361-9976-40fa-bbbe-7e438c67ece7,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V002,Activate noncompliance relevant maintenance plan,A2R,AARMI_MM_MPRQCR00,ARMI: Maintenance Plan Request Creation
f53f245b-7e69-43de-9750-da006a013c9a,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V001,Activate compliance relevant maintenance plan,A2R,AARMI_MM_MPRQAC00,ARMI: Maintenance Plan Request Activation
6c19ea57-077a-4782-9821-42335124fd0e,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V001,Activate compliance relevant maintenance plan,A2R,AARMI_MM_MPRQAP01,ARMI: Maintenance Plan Request Approval (Compliance MP)
cbb888f4-98b8-4427-8b50-b73d9bafcaa0,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V002,Activate noncompliance relevant maintenance plan,A2R,AARMI_MM_MPRQAP02,ARMI: Maintenance Plan Request Approval (MP)
84232570-01da-424f-8241-d26832a113d7,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V001,Activate compliance relevant maintenance plan,A2R,AARMI_MM_WKFLRO01,ARMI: Workflow Routing (Compliance MP)
ddd489c7-9112-4bc7-8d5a-4c186859e6cb,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V002,Activate noncompliance relevant maintenance plan,A2R,AARMI_MM_WKFLRO02,ARMI: Workflow Routing (MP)
74d7201e-7d09-476d-8fe5-ce4565bdab04,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-20-V001,Initiate maintenance request (PH/CH),A2R,AARMI_MM_MARECR02,ARMI: Maintenance Request Creation (Emergency)
ea7c904a-8cdc-4b79-8d42-2cde647122c3,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-20-V001,Initiate maintenance request (PH/CH),A2R,AARMI_MM_MARECR01,ARMI: Maintenance Request Creation (Regular and Minor Work)
007e0362-6f34-4e0a-b9c6-3a0cbb59c6e9,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-20-V002,Initiate maintenance request (CS),A2R,AARMI_MM_MARECR02,ARMI: Maintenance Request Creation (Emergency)
d19267a7-a013-40b5-837b-ea90c27b57cb,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-20-V002,Initiate maintenance request (CS),A2R,AARMI_MM_MARECR01,ARMI: Maintenance Request Creation (Regular and Minor Work)
86b7e15f-8daf-4136-b709-9e3c45282403,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-30-V001,Review and release Maintenance requests (PH/CH),A2R,AARMI_MM_MARECR01,ARMI: Maintenance Request Creation (Regular and Minor Work)
eeb07159-5984-4f72-8189-345efd4fe262,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-30-V001,Review and release Maintenance requests (PH/CH),A2R,AARMI_MM_MARERL00,ARMI: Maintenance Request Release
c69a4a6f-fc9a-4405-9215-9980bb6812e7,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-30-V002,Review and release Maintenance requests (CS),A2R,AARMI_MM_MARECR01,ARMI: Maintenance Request Creation (Regular and Minor Work)
9ef72cec-2dc1-4ab2-aab3-54bb55fa0a63,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-30-V002,Review and release Maintenance requests (CS),A2R,AARMI_MM_MARERL00,ARMI: Maintenance Request Release
d16cf7c5-8a2f-4a25-9449-3af92b1728f8,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-40-V001,Plan Maintenance and Inspection,A2R,AARMI_MM_WKORMT00,ARMI: Work Order Maintenance
710591a8-0c37-49a4-b967-18628be3e17b,L2ID,L2Desc,L3ID,L3Desc,A2R-AC-40-10-V001,Activate compliance relevant maintenance plan,A2R,AARMI_DM_MISPDL00,ARMI: Maintenance & Inspection Display
fa9656e8-2c37-4f66-834f-5151439e4f83,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_PSSRDL00,ARDP: Product Service Support Related Display
deafdf35-f45f-4166-a97b-b780b1a70813,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ACRIDL00,ARDP: Asset Care Related (Internal) Display
90f5e0a7-edc9-40eb-ad84-200b2ee5b999,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ACRXDL00,ARDP: Asset Care Related (External) Display
9a9acf3d-21a5-4e84-be36-f7489664c8f8,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ELIRDL00,ARDP: End of Life & Investment Related Display
53c8625c-6467-47c4-8b29-eb6784b19eda,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_PSSRDL00,ARDP: Product Service Support Related Display (Technical)
0ebacd66-2bf3-4a2e-b228-bdc1dbf58eb4,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_PSSRDL01,ARDP: Product Service Support Related Display (Non-Technical)
3ede9562-6c16-4a27-a7ec-a2e336bb4af0,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ELIRDL02,ARDP: End of Life & Investment Related Display (PPM)
ffa3aba1-f6d0-429a-abb8-b9504ed62fa3,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ELIRDL03,ARDP: End of Life & Investment Related Display (PS)
d4112db8-6b9c-44d8-b751-5271a3d0045d,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ELIRDL04,ARDP: End of Life & Investment Related Display (Central Procurement)
6b7b18bf-5b2b-4f5d-be7c-d1a5f52817fa,L2ID,L2Desc,L3ID,L3Desc,A2R-DPL-00-V001,A2R Display,A2R,AARDP_DM_ELIRDL05,ARDP: End of Life & Investment Related Display (SAP Analytics Cloud)
407fe9cf-c78b-4b8b-b4c4-c296cba0b82d,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-10-10-V001,Shutdown Production,A2R,AAREL_MM_PJRQCR00,AREL: Project Request Creation
f6094ed0-4c44-477b-9add-346356f11ccf,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-10-10-V001,Shutdown Production,A2R,AAREL_MM_PJRQMT00,AREL: Project Request Maintenance
18282d21-ab7b-4e48-9dbd-2e023f959b6e,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-10-10-V001,Shutdown Production,A2R,AAREL_MM_PJRQAP00,AREL: Project Request Approval
a41babfa-2a9c-4e5a-ac7a-86c117da760d,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-10-20-V001,Conduct Final Qualification and Validation,A2R,AAREL_MM_PJRQMT00,AREL: Project Request Maintenance
68d44905-41ff-47c3-87f6-6934620e8be0,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-10-30-V001,Conduct Decommissioning,A2R,AAREL_MM_PJRQMT00,AREL: Project Request Maintenance
e6e63e3d-d7fa-4d50-8ec9-f03c041cb0be,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-20-10-V001,Conduct Asset Recycling/Disposal,A2R,AAREL_MM_PJRQMT00,AREL: Project Request Maintenance
7b783187-0f48-4542-b776-f754a8195b49,L2ID,L2Desc,L3ID,L3Desc,A2R-EOL-20-10-V001,Conduct Asset Recycling/Disposal,A2R,AAREL_MM_PJRQAP00,AREL: Project Request Approval
d25150f4-ec87-4617-82af-59db6f95b086,L2ID,L2Desc,L3ID,L3Desc,A2R-IM-10-10-V001,Setup project and manage data,A2R,AARIM_MM_INPRAP00,ARIM: Investment Proposal Approval
15cfb914-88fb-42ac-8a9d-1858fff07dc5,L2ID,L2Desc,L3ID,L3Desc,A2R-IM-10-10-V001,Setup project and manage data,A2R,AARIM_MM_INVTMT01,ARIM: Investment Maintenance (Limited)
ce77627c-e5db-41f1-a9c3-214f2df25813,L2ID,L2Desc,L3ID,L3Desc,A2R-IM-10-10-V001,Setup project and manage data,A2R,AARIM_MM_INVTMT02,ARIM: Investment Maintenance (Unlimited)
8fecef07-4e3d-48b9-8a47-fd19da02cc03,L2ID,L2Desc,L3ID,L3Desc,A2R-IM-10-20-V001,Investment planning and forecasting,A2R,AARIM_MM_MACOMT01,ARIM: Mass Copy Maintenance (Limited)
b4ba5425-89d9-4b35-b12a-1eca253186db,L2ID,L2Desc,L3ID,L3Desc,A2R-IM-10-20-V001,Investment planning and forecasting,A2R,AARIM_MM_MACOMT02,ARIM: Mass Copy Maintenance (Unlimited)
